imdb_id,title
tt1324999,The Twilight Saga: Breaking Dawn - Part 1
tt0093058,Full Metal Jacket
tt0493464,Wanted
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull
tt0320691,Underworld
tt0110475,The Mask
tt0120591,Armageddon
tt0119567,The Lost World: Jurassic Park
tt0180093,Requiem for a Dream
tt0405159,Million Dollar Baby
tt2184339,The Purge
tt0438488,Terminator Salvation
tt0099785,Home Alone
tt0365748,Shaun of the Dead
tt0114746,Twelve Monkeys
tt0319262,The Day After Tomorrow
tt0104431,Home Alone 2: Lost in New York
tt0087332,Ghostbusters
tt0113497,Jumanji
tt0054215,Psycho
tt0360717,King Kong
tt0407304,War of the Worlds
tt1077368,Dark Shadows
tt0060196,"The Good, the Bad and the Ugly"
tt0107048,Groundhog Day
tt0163651,American Pie
tt0413267,Shrek the Third
tt0450259,Blood Diamond
tt1499658,Horrible Bosses
tt0462538,The Simpsons Movie
tt0467406,Juno
tt1060277,Cloverfield
tt0167190,Hellboy
tt0209163,The Mummy Returns
tt0387564,Saw
tt0425112,Hot Fuzz
tt0146316,Lara Croft: Tomb Raider
tt0088847,The Breakfast Club
tt0181852,Terminator 3: Rise of the Machines
tt0349903,Ocean's Twelve
tt0343660,50 First Dates
